chrom	chunk	r2_med	r2_avg	r2_std	con_med	con_avg	con_std	inf_med	inf_avg	inf_std
25	11	0.601	0.5731	0.1555	0.787	0.7909	0.0767	0.809	0.7913	0.0929
25	1	0.972	0.9466	0.0882	0.988	0.9804	0.0216	0.984	0.9640	0.0661
25	2	0.9055	0.8904	0.0771	0.956	0.9515	0.0335	0.959	0.9497	0.0359
25	3	0.841	0.8380	0.0930	0.9305	0.9275	0.0399	0.9445	0.9337	0.0562
25	4	0.835	0.8391	0.0884	0.931	0.9286	0.0400	0.938	0.9375	0.0307
25	5	0.842	0.8442	0.0794	0.925	0.9279	0.0368	0.941	0.9377	0.0308
25	6	0.801	0.7955	0.1012	0.8995	0.8999	0.0475	0.918	0.9163	0.0396
25	7	0.76	0.7730	0.1168	0.9	0.8999	0.0568	0.9115	0.9151	0.0449
25	8	0.727	0.7211	0.1172	0.860	0.8616	0.0675	0.873	0.8777	0.0528
25	9	0.685	0.6791	0.1042	0.852	0.8466	0.0580	0.865	0.8622	0.0462
26	1	0.8415	0.8316	0.1053	0.921	0.9196	0.0519	0.935	0.9309	0.0473
26	2	0.798	0.7951	0.1314	0.9065	0.8990	0.0684	0.921	0.9151	0.0556
26	3	0.7455	0.7491	0.1384	0.896	0.8855	0.0677	0.8985	0.8918	0.0575
26	4	0.747	0.7554	0.1429	0.886	0.8879	0.0650	0.906	0.8979	0.0605
26	5	0.742	0.7350	0.1167	0.880	0.8769	0.0596	0.894	0.8913	0.0492
26	6	0.767	0.7789	0.1035	0.898	0.9008	0.0484	0.908	0.9112	0.0434
26	7	0.623	0.6308	0.1879	0.834	0.8354	0.0920	0.824	0.8272	0.0908
26	8	0.580	0.5838	0.1082	0.803	0.8018	0.0629	0.835	0.8276	0.0488
26	9	0.464	0.4637	0.1146	0.733	0.7447	0.0766	0.763	0.7583	0.0627
27	10	0.598	0.6084	0.2099	0.804	0.8111	0.1100	0.807	0.8181	0.0927
27	1	0.938	0.9275	0.0576	0.975	0.9674	0.0270	0.970	0.9606	0.0308
27	2	0.791	0.7864	0.1029	0.900	0.9003	0.0495	0.917	0.9140	0.0387
27	3	0.76	0.7448	0.1174	0.883	0.8828	0.0547	0.904	0.8996	0.0494
27	4	0.759	0.7661	0.1001	0.888	0.8924	0.0519	0.9055	0.9074	0.0394
27	5	0.7695	0.7699	0.0928	0.891	0.8906	0.0439	0.913	0.9054	0.0353
27	6	0.753	0.7493	0.0959	0.8935	0.8871	0.0481	0.901	0.8993	0.0370
27	7	0.7445	0.7456	0.0836	0.8815	0.8817	0.0438	0.91	0.9071	0.0312
27	8	0.733	0.7386	0.0999	0.878	0.8791	0.0471	0.906	0.9063	0.0347
27	9	0.683	0.6899	0.1101	0.858	0.8587	0.0536	0.880	0.8846	0.0408
28	1	0.905	0.8822	0.0917	0.955	0.9472	0.0334	0.957	0.9455	0.0394
28	2	0.829	0.8114	0.1138	0.928	0.9192	0.0492	0.932	0.9189	0.0515
